# waypoint_sets.csv - SYNTHETIC, HAND-DESIGNED committed waypoint sets for project 15.01
# generated by scripts/make_synthetic.py (fixed constants; --seed has no effect on these 5 sets)
# format: repeated blocks of
#   SET,<name>          opens a new waypoint set
#   WP,<x_m>,<y_m>      exactly 5 of these follow, in flight order
# units: meters, world frame (x-forward, y-left per docs/SYSTEM_DESIGN.md #3.2)
# 'slalom' MUST be present - main.cu uses it for the trajectory/PGM artifact
# license: same as the repository (MIT) - fully synthetic, no external source
SET,straight_line
WP,0,0
WP,1,0
WP,2,0
WP,3,0
WP,4,0
SET,right_angle
WP,0,0
WP,1,0
WP,2,0
WP,2,1
WP,2,2
SET,slalom
WP,0,0
WP,1,1.5
WP,2,-1.5
WP,3,1.5
WP,4,0
SET,s_curve
WP,0,0
WP,1,1
WP,2,0
WP,3,-1
WP,4,0
SET,big_loop
WP,0,0
WP,2,1
WP,4,0
WP,2,-1
WP,0,0
